

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1    1  69.550

 It          oL           L  errX  errY
 19  -172.79416  -169.71992 75.03 75.87
 20  -169.71992  -166.47756 75.14 75.95
 21  -166.47756  -163.28097 74.92 75.55
 22  -163.28097  -160.24404 74.88 75.07
 23  -160.24404  -157.10378 74.96 75.60
 24  -157.10378  -153.89831 75.36 75.82
 25  -153.89831  -151.58554 75.35 75.55
 26  -151.58554  -149.77717 75.19 75.50
 27  -149.77717  -148.06160 75.19 75.38
 28  -148.06160  -146.90087 75.02 74.92
 29  -146.90087  -145.95613 75.20 75.30
 30  -145.95613  -144.90283 75.04 75.35
 31  -144.90283  -143.48469 75.22 75.58
 32  -143.48469  -142.49328 75.26 75.53
 33  -142.49328  -141.63081 75.34 75.65
 34  -141.63081  -140.86431 75.29 75.72
 35  -140.86431  -140.14779 75.30 76.05
 36  -140.14779  -139.63288 75.39 75.98
 37  -139.63288  -139.08389 75.36 75.90
 38  -139.08389  -138.49842 75.43 75.83
 39  -138.49842  -137.82067 75.30 76.07
 40  -137.82067  -136.94933 75.29 76.02
 41  -136.94933  -136.23448 75.43 75.78
 42  -136.23448  -135.51245 75.44 75.67
 43  -135.51245  -134.89596 75.36 76.20
 44  -134.89596  -134.37112 75.42 76.33
 45  -134.37112  -133.72780 75.49 76.43
 46  -133.72780  -132.89128 75.49 76.48
 47  -132.89128  -132.29116 75.64 76.48
 48  -132.29116  -131.67446 75.50 76.12
 49  -131.67446  -130.98504 75.48 76.23
 50  -130.98504  -130.32101 75.50 76.33
 51  -130.32101  -129.73896 75.28 76.13
 52  -129.73896  -129.31345 75.34 76.12
 53  -129.31345  -128.91812 75.19 75.88
 54  -128.91812  -128.51669 75.11 75.77
 55  -128.51669  -128.10025 75.09 75.82
 56  -128.10025  -127.74311 75.17 75.58
 57  -127.74311  -127.38125 75.18 76.00
 58  -127.38125  -126.98061 75.06 75.90
 59  -126.98061  -126.66352 75.02 75.68
 60  -126.66352  -126.37830 75.10 75.88
 61  -126.37830  -126.01198 75.13 75.65
 62  -126.01198  -125.64299 75.08 75.65
 63  -125.64299  -125.33032 75.12 75.80
 64  -125.33032  -125.06178 75.18 75.93
 65  -125.06178  -124.81092 75.11 75.83
 66  -124.81092  -124.61821 75.16 75.93
 67  -124.61821  -124.45287 75.13 75.55
 68  -124.45287  -124.27592 75.29 75.52
 69  -124.27592  -124.03923 75.19 75.75
 70  -124.03923  -123.70596 75.24 75.70
 71  -123.70596  -123.52101 75.15 75.58
 72  -123.52101  -123.34598 75.17 75.53
 73  -123.34598  -123.15454 75.20 75.63
 74  -123.15454  -122.93101 75.32 75.60
 75  -122.93101  -122.70588 75.33 75.48
 76  -122.70588  -122.48335 75.30 75.25
 77  -122.48335  -122.21080 75.34 75.42
 78  -122.21080  -122.02537 75.31 75.27
 79  -122.02537  -121.80934 75.22 74.95
 80  -121.80934  -121.53238 75.24 75.08
 81  -121.53238  -121.25143 75.26 75.17
 82  -121.25143  -120.96597 75.36 75.30
 83  -120.96597  -120.66998 75.40 75.57
 84  -120.66998  -120.41320 75.36 75.55
 85  -120.41320  -120.20574 75.35 75.95
 86  -120.20574  -120.00237 75.37 75.85
 87  -120.00237  -119.81524 75.33 75.73
 88  -119.81524  -119.64854 75.28 75.62
 89  -119.64854  -119.46695 75.45 75.60
 90  -119.46695  -119.24060 75.53 75.68
 91  -119.24060  -118.99837 75.49 75.88
 92  -118.99837  -118.85338 75.45 75.88
 93  -118.85338  -118.68925 75.44 75.93
 94  -118.68925  -118.46869 75.41 75.92
 95  -118.46869  -118.16856 75.44 75.88
 96  -118.16856  -117.90688 75.31 76.12
 97  -117.90688  -117.57802 75.37 76.28
 98  -117.57802  -117.21688 75.36 76.37
 99  -117.21688  -116.94620 75.45 76.13
100  -116.94620  -116.70045 75.44 76.05
101  -116.70045  -116.50224 75.43 76.00
102  -116.50224  -116.33788 75.54 76.17
103  -116.33788  -116.20418 75.54 76.38
104  -116.20418  -116.06554 75.47 76.13
105  -116.06554  -115.89883 75.57 76.40
106  -115.89883  -115.75202 75.54 76.47
107  -115.75202  -115.61422 75.57 76.48
108  -115.61422  -115.48582 75.53 76.40
109  -115.48582  -115.37029 75.53 76.60
110  -115.37029  -115.26297 75.48 76.55
111  -115.26297  -115.14682 75.43 76.53
112  -115.14682  -115.05344 75.44 76.45
113  -115.05344  -114.98321 75.43 76.30
114  -114.98321  -114.92208 75.50 76.30
115  -114.92208  -114.88173 75.47 76.40
116  -114.88173  -114.84926 75.44 76.38
117  -114.84926  -114.80804 75.48 76.33
118  -114.80804  -114.76553 75.51 76.37
119  -114.76553  -114.69657 75.48 76.10
120  -114.69657  -114.60017 75.47 76.08
121  -114.60017  -114.51270 75.32 76.02
122  -114.51270  -114.42888 75.21 76.05
123  -114.42888  -114.34469 75.25 76.02
124  -114.34469  -114.24381 75.27 76.17
125  -114.24381  -114.15770 75.29 76.18
126  -114.15770  -114.09892 75.20 76.25
127  -114.09892  -114.04900 75.12 76.32
128  -114.04900  -114.00355 75.14 76.40
129  -114.00355  -113.97712 75.21 76.37
130  -113.97712  -113.95555 75.24 76.23
131  -113.95555  -113.93943 75.25 76.05
132  -113.93943  -113.92504 75.24 76.02
133  -113.92504  -113.91103 75.21 75.95
134  -113.91103  -113.89738 75.20 76.02
135  -113.89738  -113.88589 75.19 76.07
136  -113.88589  -113.87524 75.16 76.07

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1   50  76.067

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf  -397.68491 74.73 74.75
  2  -397.68491  -181.35577 74.74 75.03
  3  -181.35577  -147.13965 74.43 74.75
  4  -147.13965  -131.48799 74.50 74.68
  5  -131.48799  -122.24667 74.33 74.77
  6  -122.24667  -115.30112 74.24 74.23
  7  -115.30112  -110.16767 74.33 74.68
  8  -110.16767  -105.37144 73.86 73.97
  9  -105.37144  -100.96550 73.99 74.05
 10  -100.96550   -96.96631 73.85 74.40
 11   -96.96631   -93.85327 74.00 74.82
 12   -93.85327   -90.61058 74.03 74.87
 13   -90.61058   -87.19263 73.98 74.22
 14   -87.19263   -84.83093 73.93 74.30
 15   -84.83093   -83.00994 74.21 74.72
 16   -83.00994   -81.36046 74.23 74.52
 17   -81.36046   -79.69252 74.33 74.33
 18   -79.69252   -78.12654 74.11 74.67
 19   -78.12654   -76.81652 73.95 74.62
 20   -76.81652   -75.66270 73.89 74.52
 21   -75.66270   -74.59806 74.06 74.23
 22   -74.59806   -73.52484 74.24 74.75
 23   -73.52484   -72.60471 74.01 74.55
 24   -72.60471   -71.89224 73.93 74.70
 25   -71.89224   -71.11551 74.03 74.72
 26   -71.11551   -70.13377 74.17 75.05
 27   -70.13377   -69.29928 74.24 75.07
 28   -69.29928   -68.64951 74.30 75.18
 29   -68.64951   -67.98109 74.19 75.12
 30   -67.98109   -67.45438 74.21 75.18
 31   -67.45438   -66.96917 74.14 75.40
 32   -66.96917   -66.54279 74.21 75.27
 33   -66.54279   -66.06466 74.07 75.43
 34   -66.06466   -65.73406 74.09 75.50
 35   -65.73406   -65.43860 74.23 75.35
 36   -65.43860   -65.20634 74.14 75.65
 37   -65.20634   -64.91591 74.09 75.55
 38   -64.91591   -64.59678 74.08 75.52
 39   -64.59678   -64.36306 74.03 75.60
 40   -64.36306   -64.16908 74.09 75.48
 41   -64.16908   -64.02333 74.12 75.47
 42   -64.02333   -63.90405 74.05 75.65
 43   -63.90405   -63.78910 74.03 75.80
 44   -63.78910   -63.68608 74.01 75.65
 45   -63.68608   -63.59912 74.04 75.50
 46   -63.59912   -63.50400 74.03 75.48
 47   -63.50400   -63.41875 74.03 75.40
 48   -63.41875   -63.32479 74.01 75.25
 49   -63.32479   -63.25752 74.03 75.00
 50   -63.25752   -63.14714 74.02 75.15
 51   -63.14714   -63.02635 74.10 75.10
 52   -63.02635   -62.89645 74.12 75.15
 53   -62.89645   -62.79418 74.19 75.15
 54   -62.79418   -62.70333 74.23 75.12
 55   -62.70333   -62.65309 74.22 75.22
 56   -62.65309   -62.60101 74.20 74.95
 57   -62.60101   -62.53577 74.20 75.03
 58   -62.53577   -62.45092 74.18 75.00
 59   -62.45092   -62.37310 74.18 74.90
 60   -62.37310   -62.29598 74.09 74.90
 61   -62.29598   -62.23234 74.20 74.93
 62   -62.23234   -62.17831 74.18 75.00
 63   -62.17831   -62.11603 74.12 75.18
 64   -62.11603   -62.06749 74.03 75.25
 65   -62.06749   -62.02688 74.06 75.32
 66   -62.02688   -62.00222 74.03 75.27
 67   -62.00222   -61.97892 74.12 75.32
 68   -61.97892   -61.95438 74.12 75.33
 69   -61.95438   -61.92546 74.08 75.45
 70   -61.92546   -61.89605 74.06 75.37
 71   -61.89605   -61.86621 74.11 75.35
 72   -61.86621   -61.84346 74.14 75.40
 73   -61.84346   -61.82170 74.13 75.30
 74   -61.82170   -61.80507 74.07 75.48
 75   -61.80507   -61.78795 74.01 75.60
 76   -61.78795   -61.76302 74.02 75.75
 77   -61.76302   -61.74122 73.95 75.72
 78   -61.74122   -61.71818 73.98 75.93
 79   -61.71818   -61.69026 73.86 75.92
 80   -61.69026   -61.65348 73.85 75.82
 81   -61.65348   -61.62483 73.90 75.70
 82   -61.62483   -61.60043 73.91 75.63
 83   -61.60043   -61.57669 73.96 75.63
 84   -61.57669   -61.54869 74.02 75.53
 85   -61.54869   -61.51690 74.05 75.73
 86   -61.51690   -61.48276 74.14 75.70
 87   -61.48276   -61.45304 74.14 75.77
 88   -61.45304   -61.42705 74.13 75.80
 89   -61.42705   -61.39116 74.07 75.77
 90   -61.39116   -61.35431 74.06 75.68
 91   -61.35431   -61.32125 74.01 75.88
 92   -61.32125   -61.29526 74.07 75.93
 93   -61.29526   -61.26649 74.11 76.03
 94   -61.26649   -61.21727 74.02 75.85
 95   -61.21727   -61.15709 74.01 75.83
 96   -61.15709   -61.10174 74.04 75.65
 97   -61.10174   -61.02313 74.01 75.65
 98   -61.02313   -60.94889 74.05 75.80
 99   -60.94889   -60.87372 74.05 75.78
100   -60.87372   -60.80840 74.07 75.82
101   -60.80840   -60.75520 74.03 75.87
102   -60.75520   -60.73180 74.01 75.90
103   -60.73180   -60.71666 74.08 75.98
104   -60.71666   -60.70364 74.05 75.95
105   -60.70364   -60.69418 74.03 75.93
106   -60.69418   -60.68926 74.02 75.82

  alpha   PCA    K   dv-err
